351,"Ivica Zubac, C",Los Angeles Lakers,"$1,034,956 "
352,"Richaun Holmes, PF",Philadelphia 76ers,"$1,025,831 "
353,"Lorenzo Brown, PG",Toronto Raptors,"$1,015,696 "
354,"Isaiah Canaan, PG",Chicago Bulls,"$1,015,696 "
355,"Justin Holiday, SG",New York Knicks,"$1,015,696 "
356,"Mike Muscala, PF",Atlanta Hawks,"$1,015,696 "
357,"Edy Tavares, C",Cleveland Cavaliers,"$1,000,000 "
358,"Devyn Marble, SF",LA Clippers,"$980,431 "
359,"James Michael McAdoo, SF",Golden State Warriors,"$980,431 "
360,"JaMychal Green, PF",Memphis Grizzlies,"$980,431 "
361,"Henry Sims, C",Utah Jazz,"$980,431 "
362,"Nate Wolters, PG",Utah Jazz,"$980,431 "
363,"Brian Roberts, PG",Charlotte Hornets,"$980,431 "
364,"Eric Moreland, PF",Detroit Pistons,"$980,431 "
365,"Greg Stiemsma, C",Portland Trail Blazers,"$980,431 "
366,"Will Bynum, PG",Atlanta Hawks,"$980,431 "
367,"Stephen Zimmerman, C",Orlando Magic,"$950,000 "
368,"Andrew Harrison, SG",Memphis Grizzlies,"$945,000 "
369,"Raul Neto, PG",Utah Jazz,"$937,800 "
370,"Malcolm Brogdon, PG",Milwaukee Bucks,"$925,000 "
RK,NAME,TEAM,SALARY
371,"Tyler Ulis, PG",Phoenix Suns,"$918,369 "
372,"Reggie Williams, SF",New Orleans Pelicans,"$895,197 "
373,"Kevin Murphy, SG",Orlando Magic,"$874,636 "
374,"Nick Johnson, SG",Orlando Magic,"$874,636 "
375,"Branden Dawson, SF",Orlando Magic,"$874,636 "
376,"Jonathon Simmons, SF",San Antonio Spurs,"$874,636 "
377,"D.J. Stephens, SG",Memphis Grizzlies,"$874,636 "
378,"D.J. Kennedy, SG",Memphis Grizzlies,"$874,636 "
379,"Norman Powell, SF",Toronto Raptors,"$874,636 "
380,"Christian Wood, PF",Charlotte Hornets,"$874,636 "
RK,NAME,TEAM,SALARY
381,"Aaron Harrison, SG",Charlotte Hornets,"$874,636 "
382,"Pat Connaughton, SG",Portland Trail Blazers,"$874,636 "
383,"Grant Jerrett, PF",Portland Trail Blazers,"$874,636 "
384,"Cliff Alexander, PF",New Orleans Pelicans,"$874,636 "
385,"R.J. Hunter, SG",Chicago Bulls,"$864,346 "
386,"Paul Zipser, SF",Chicago Bulls,"$750,000 "
387,"Spencer Dinwiddie, PG",Brooklyn Nets,"$726,672 "
388,"Bobby Brown, PG",Houston Rockets,"$680,534 "
389,"AJ Hammons, C",Dallas Mavericks,"$650,000 "
390,"Georges Niang, F",Indiana Pacers,"$650,000 "
RK,NAME,TEAM,SALARY
391,"Michael Gbinije, SG",Detroit Pistons,"$650,000 "
392,"Jake Layman, SF",Portland Trail Blazers,"$600,000 "
393,"Joel Bolomboy, PF",Utah Jazz,"$600,000 "
394,"Donatas Motiejunas, PF",New Orleans Pelicans,"$576,724 "
395,"Fred VanVleet, PG",Toronto Raptors,"$543,471 "
396,"E.J. Singler, SF",Toronto Raptors,"$543,471 "
397,"Andrew Andrews, G",Charlotte Hornets,"$543,471 "
